Date,Close
28/12/2020,136.690002
29/12/2020,134.869995
30/12/2020,133.720001
31/12/2020,132.690002
04/01/2021,129.410004
05/01/2021,131.009995
06/01/2021,126.599998
07/01/2021,130.919998
08/01/2021,132.050003
11/01/2021,128.979996
12/01/2021,128.800003
13/01/2021,130.889999
14/01/2021,128.910004
15/01/2021,127.139999
19/01/2021,127.830002
20/01/2021,132.029999
21/01/2021,136.869995
22/01/2021,139.070007
25/01/2021,142.919998
26/01/2021,143.160004
27/01/2021,142.059998
28/01/2021,137.089996
29/01/2021,131.960007
01/02/2021,134.139999
02/02/2021,134.990005
03/02/2021,133.940002
04/02/2021,137.389999
05/02/2021,136.759995
08/02/2021,136.910004
09/02/2021,136.009995
10/02/2021,135.389999
11/02/2021,135.130005
12/02/2021,135.369995
16/02/2021,133.190002
17/02/2021,130.839996
18/02/2021,129.710007
19/02/2021,129.869995
22/02/2021,126
23/02/2021,125.860001
24/02/2021,125.349998
25/02/2021,120.989998
26/02/2021,121.260002
01/03/2021,127.790001
02/03/2021,125.120003
03/03/2021,122.059998
04/03/2021,120.129997
05/03/2021,121.419998
08/03/2021,116.360001
09/03/2021,121.089996
10/03/2021,119.980003
11/03/2021,121.959999
12/03/2021,121.029999
15/03/2021,123.989998
16/03/2021,125.57
17/03/2021,124.760002
18/03/2021,120.529999
19/03/2021,119.989998
22/03/2021,123.389999
23/03/2021,122.540001
24/03/2021,120.089996
25/03/2021,120.589996
26/03/2021,121.209999
29/03/2021,121.389999
30/03/2021,119.900002
31/03/2021,122.150002
01/04/2021,123
05/04/2021,125.900002
06/04/2021,126.209999
07/04/2021,127.900002
08/04/2021,130.360001
09/04/2021,133
12/04/2021,131.240005
13/04/2021,134.429993
14/04/2021,132.029999
15/04/2021,134.5
16/04/2021,134.160004
19/04/2021,134.839996
20/04/2021,133.110001
21/04/2021,133.5
22/04/2021,131.940002
23/04/2021,134.320007
26/04/2021,134.720001
27/04/2021,134.389999
28/04/2021,133.580002
29/04/2021,133.479996
30/04/2021,131.460007
03/05/2021,132.539993
04/05/2021,127.849998
05/05/2021,128.100006
06/05/2021,129.740005
07/05/2021,130.210007
10/05/2021,126.849998
11/05/2021,125.910004
12/05/2021,122.769997
13/05/2021,124.970001
14/05/2021,127.449997
17/05/2021,126.269997
18/05/2021,124.849998
19/05/2021,124.690002
20/05/2021,127.309998
21/05/2021,125.43
24/05/2021,127.099998
25/05/2021,126.900002
26/05/2021,126.849998
27/05/2021,125.279999
28/05/2021,124.610001
01/06/2021,124.279999
02/06/2021,125.059998
03/06/2021,123.540001
04/06/2021,125.889999
07/06/2021,125.900002
08/06/2021,126.739998
09/06/2021,127.129997
10/06/2021,126.110001
11/06/2021,127.349998
14/06/2021,130.479996
15/06/2021,129.639999
16/06/2021,130.149994
17/06/2021,131.789993
18/06/2021,130.460007
21/06/2021,132.300003
22/06/2021,133.979996
23/06/2021,133.699997
24/06/2021,133.410004
25/06/2021,133.110001
28/06/2021,134.779999
29/06/2021,136.330002
30/06/2021,136.960007
01/07/2021,137.270004
02/07/2021,139.960007
06/07/2021,142.020004
07/07/2021,144.570007
08/07/2021,143.240005
09/07/2021,145.110001
12/07/2021,144.5
13/07/2021,145.639999
14/07/2021,149.149994
15/07/2021,148.479996
16/07/2021,146.389999
19/07/2021,142.449997
20/07/2021,146.149994
21/07/2021,145.399994
22/07/2021,146.800003
23/07/2021,148.559998
26/07/2021,148.990005
27/07/2021,146.770004
28/07/2021,144.979996
29/07/2021,145.639999
30/07/2021,145.860001
02/08/2021,145.520004
03/08/2021,147.360001
04/08/2021,146.949997
05/08/2021,147.059998
06/08/2021,146.139999
09/08/2021,146.089996
10/08/2021,145.600006
11/08/2021,145.860001
12/08/2021,148.889999
13/08/2021,149.100006
16/08/2021,151.119995
17/08/2021,150.190002
18/08/2021,146.360001
19/08/2021,146.699997
20/08/2021,148.190002
23/08/2021,149.710007
24/08/2021,149.619995
25/08/2021,148.360001
26/08/2021,147.539993
27/08/2021,148.600006
30/08/2021,153.119995
31/08/2021,151.830002
01/09/2021,152.509995
02/09/2021,153.649994
03/09/2021,154.300003
07/09/2021,156.690002
08/09/2021,155.110001
09/09/2021,154.070007
10/09/2021,148.970001
13/09/2021,149.550003
14/09/2021,148.119995
15/09/2021,149.029999
16/09/2021,148.789993
17/09/2021,146.059998
20/09/2021,142.940002
21/09/2021,143.429993
22/09/2021,145.850006
23/09/2021,146.830002
24/09/2021,146.919998
27/09/2021,145.369995
28/09/2021,141.910004
29/09/2021,142.830002
30/09/2021,141.5
01/10/2021,142.649994
04/10/2021,139.139999
05/10/2021,141.110001
06/10/2021,142
07/10/2021,143.289993
08/10/2021,142.899994
11/10/2021,142.809998
12/10/2021,141.509995
13/10/2021,140.910004
14/10/2021,143.759995
15/10/2021,144.839996
18/10/2021,146.550003
19/10/2021,148.759995
20/10/2021,149.259995
21/10/2021,149.479996
22/10/2021,148.690002
25/10/2021,148.639999
26/10/2021,149.320007
27/10/2021,148.850006
28/10/2021,152.570007
29/10/2021,149.800003
01/11/2021,148.960007
02/11/2021,150.020004
03/11/2021,151.490005
04/11/2021,150.960007
05/11/2021,151.279999
08/11/2021,150.440002
09/11/2021,150.809998
10/11/2021,147.919998
11/11/2021,147.869995
12/11/2021,149.990005
15/11/2021,150
16/11/2021,151
17/11/2021,153.490005
18/11/2021,157.869995
19/11/2021,160.550003
22/11/2021,161.020004
23/11/2021,161.410004
24/11/2021,161.940002
26/11/2021,156.809998
29/11/2021,160.240005
30/11/2021,165.300003
01/12/2021,164.770004
02/12/2021,163.759995
03/12/2021,161.839996
06/12/2021,165.320007
07/12/2021,171.179993
08/12/2021,175.080002
09/12/2021,174.559998
10/12/2021,179.449997
13/12/2021,175.740005
14/12/2021,174.330002
15/12/2021,179.300003
16/12/2021,172.259995
17/12/2021,171.139999
20/12/2021,169.75
21/12/2021,172.990005
22/12/2021,175.639999
23/12/2021,176.279999
27/12/2021,180.330002